title_yt,yt_vid,yt_url,title_yk,yk_vid,yk_url,title_bi,bi_vid,bi_url
什么是遗传算法? What is Genetic Algorithm?,BEquIwfEXes,https://www.youtube.com/watch?v=BEquIwfEXes,什么是遗传算法? Genetic Algorithm,XMjk0NzE0MjgxNg,http://v.youku.com/v_show/id_XMjk0NzE0MjgxNg==.html,什么是遗传算法? What is Genetic Algorithm?,16926245&page=1,https://www.bilibili.com/video/av16926245/index_1.html
1.1 进化算法简介 (机器学习 进化算法 Evolutionary Algorithm 教程教学 tutorial),7R3bnpv5q9k,https://www.youtube.com/watch?v=7R3bnpv5q9k, 1.1 进化算法简介 Evolutionary Algorithm 教程教学,XMjk2MzAwMjYyMA,http://v.youku.com/v_show/id_XMjk2MzAwMjYyMA==.html,1.1 进化算法 Evolutionary Algorithm,16926245&page=2,https://www.bilibili.com/video/av16926245/index_2.html
2.1 遗传算法 Genetic Algorithm (进化算法教学教程 Tutorial),9ExCPd918Yk,https://www.youtube.com/watch?v=9ExCPd918Yk, 2.1 遗传算法 Genetic Algorithm 机器学习,XMjk3MDExOTUwNA,http://v.youku.com/v_show/id_XMjk3MDExOTUwNA==.html,2.1 遗传算法 Genetic Algorithm,16926245&page=3,https://www.bilibili.com/video/av16926245/index_3.html
2.2 遗传算法 例子: 句子配对 (机器学习 进化算法 Evolutionary Algorithm 教程教学 tutorial),solxwZUtOQc,https://www.youtube.com/watch?v=solxwZUtOQc, 2.2 遗传算法 例子: 句子配对,XMjk3MDg5OTk2NA,http://v.youku.com/v_show/id_XMjk3MDg5OTk2NA==.html,2.2 遗传算法 例子: 句子配对,16926245&page=4,https://www.bilibili.com/video/av16926245/index_4.html
2.3 遗传算法 例子: 旅行商人 TSP (机器学习 Genetic Algorithm 进化算法 Evolutionary Algorithm 教程教学 tutorial),QuIHneWL8pw,https://www.youtube.com/watch?v=QuIHneWL8pw, 2.3 遗传算法 例子: 旅行商人 最短路径,XMjk3MDg3MDc5Ng,http://v.youku.com/v_show/id_XMjk3MDg3MDc5Ng==.html,2.3 遗传算法 例子: 旅行商人 TSP,16926245&page=5,https://www.bilibili.com/video/av16926245/index_5.html
2.4 微生物遗传算法 Microbial Genetic Algorithm (机器学习 进化算法 Evolutionary Algorithm 教程教学 tutorial),jPt6-e_OiWE,https://www.youtube.com/watch?v=jPt6-e_OiWE, 2.4 微生物遗传算法 Microbial GA 机器学习,XMjk2MzUwNTExNg,http://v.youku.com/v_show/id_XMjk2MzUwNTExNg==.html,2.4 微生物遗传算法 Microbial Genetic Algorithm,16926245&page=6,https://www.bilibili.com/video/av16926245/index_6.html
什么是进化策略 What is Evolution Strategy?,Etj_gclFFFo,https://www.youtube.com/watch?v=Etj_gclFFFo,什么是进化策略 Evolution Strategy?,XMjk3OTcyMTU1Mg,http://v.youku.com/v_show/id_XMjk3OTcyMTU1Mg==.html,什么是进化策略 What is Evolution Strategy?,16926245&page=7,https://www.bilibili.com/video/av16926245/index_7.html
3.1 进化策略 Evolution Strategy (机器学习 进化算法 Evolutionary Algorithm 教程教学 tutorial),9yuL-vuiOO0,https://www.youtube.com/watch?v=9yuL-vuiOO0, 3.1 进化策略 Evolution Strategy (机器学习 进化算法 Evolutionary Algorithm 教程教学,XMjk5NDUzNTc0OA,http://v.youku.com/v_show/id_XMjk5NDUzNTc0OA==.html,3.1 进化策略 Evolution Strategy,16926245&page=8,https://www.bilibili.com/video/av16926245/index_8.html
3.2 (1+1)ES 简单有效的进化策略 (机器学习 进化算法 Evolutionary Algorithm 教程教学 tutorial),AcTeLqukgkA,https://www.youtube.com/watch?v=AcTeLqukgkA, 3.2 (1+1)ES 简单有效的进化策略 (机器学习 进化算法),XMjk5NDYxNTQ0OA,http://v.youku.com/v_show/id_XMjk5NDYxNTQ0OA==.html,3.2 (1+1)ES 简单有效的进化策略,16926245&page=9,https://www.bilibili.com/video/av16926245/index_9.html
3.3 进化策略+梯度下降=Natural ES (机器学习 进化算法 Evolutionary Algorithm 教程教学 tutorial),ozSdqrN-kFQ,https://www.youtube.com/watch?v=ozSdqrN-kFQ, 3.3 进化策略+梯度下降=Natural ES (机器学习 进化算法),XMjk5NDcxNDcyOA,http://v.youku.com/v_show/id_XMjk5NDcxNDcyOA==.html,3.3 进化策略+梯度下降=Natural ES,16926245&page=10,https://www.bilibili.com/video/av16926245/index_10.html
