title_yt,yt_vid,yt_url,title_yk,yk_vid,yk_url,title_bi,bi_vid,bi_url
python基础 1 安装 (教学教程tutorial),1PC3etgLwVc,https://www.youtube.com/watch?v=1PC3etgLwVc, python基础 1 安装 (教学教程),XMTU4Mjg2Njg4MA,http://v.youku.com/v_show/id_XMTU4Mjg2Njg4MA==.html,1 安装,16926522&page=1,https://www.bilibili.com/video/av16926522/index_1.html
python基础 2 print() (教学教程tutorial),JxsBd6dniXc,https://www.youtube.com/watch?v=JxsBd6dniXc, python基础 2 print() (教学教程),XMTU4Mjg3Mjc4MA,http://v.youku.com/v_show/id_XMTU4Mjg3Mjc4MA==.html,2 print(),16926522&page=2,https://www.bilibili.com/video/av16926522/index_2.html
python基础 3 数学 (教学教程tutorial),c7sDwLi6Vu0,https://www.youtube.com/watch?v=c7sDwLi6Vu0, python基础 3 数学 (教学教程),XMTU4Mjg3NzMwMA,http://v.youku.com/v_show/id_XMTU4Mjg3NzMwMA==.html,3 数学,16926522&page=3,https://www.bilibili.com/video/av16926522/index_3.html
python基础 4 自变量 variable (教学教程tutorial),hIbzfmdk2es,https://www.youtube.com/watch?v=hIbzfmdk2es, python基础 4 自变量 variable (教学教程),XMTU4Mjg3ODYzNg,http://v.youku.com/v_show/id_XMTU4Mjg3ODYzNg==.html,4 自变量 variable,16926522&page=4,https://www.bilibili.com/video/av16926522/index_4.html
python基础 5 while循环 (教学教程tutorial),F9Ptmo9CZl4,https://www.youtube.com/watch?v=F9Ptmo9CZl4, python基础 5 while循环 (教学教程),XMTU4Mjg4MTI1Ng,http://v.youku.com/v_show/id_XMTU4Mjg4MTI1Ng==.html,5 while循环,16926522&page=5,https://www.bilibili.com/video/av16926522/index_5.html
python基础 6 for循环 (教学教程tutorial),iKUu9MuDemA,https://www.youtube.com/watch?v=iKUu9MuDemA, python基础 6 for循环 (教学教程),XMTU4Mjg4NDAwOA,http://v.youku.com/v_show/id_XMTU4Mjg4NDAwOA==.html,6 for循环,16926522&page=6,https://www.bilibili.com/video/av16926522/index_6.html
python基础 7 if 条件 (教学教程tutorial),3g8MavivF4c,https://www.youtube.com/watch?v=3g8MavivF4c, python基础 7 if 条件 (教学教程),XMTU4Mjg4NzI4OA,http://v.youku.com/v_show/id_XMTU4Mjg4NzI4OA==.html,7 if 条件,16926522&page=7,https://www.bilibili.com/video/av16926522/index_7.html
python基础 8 if else 条件 (教学教程tutorial),Ul0ovDZOdgg,https://www.youtube.com/watch?v=Ul0ovDZOdgg, python基础 8 if else 条件 (教学教程),XMTU4Mjg4OTYzMg,http://v.youku.com/v_show/id_XMTU4Mjg4OTYzMg==.html,8 if else 条件,16926522&page=8,https://www.bilibili.com/video/av16926522/index_8.html
python基础 9 if elif else (教学教程tutorial),1q26xc0uQNw,https://www.youtube.com/watch?v=1q26xc0uQNw, python基础 9 if elif else (教学教程),XMTU4Mjg5MDU3Ng,http://v.youku.com/v_show/id_XMTU4Mjg5MDU3Ng==.html,9 if elif else,16926522&page=9,https://www.bilibili.com/video/av16926522/index_9.html
python基础 10 def 函数 (教学教程tutorial),0ClLhbQsqyo,https://www.youtube.com/watch?v=0ClLhbQsqyo, python基础 10 def 函数 (教学教程),XMTU4NTA2NDI4NA,http://v.youku.com/v_show/id_XMTU4NTA2NDI4NA==.html,10 def 函数,16926522&page=10,https://www.bilibili.com/video/av16926522/index_10.html
python基础 11 函数 参数 (教学教程tutorial),9UhdrNHjHI8,https://www.youtube.com/watch?v=9UhdrNHjHI8, python基础 11 函数 参数 (教学教程),XMTU4NTA3Njk0MA,http://v.youku.com/v_show/id_XMTU4NTA3Njk0MA==.html,11 函数 参数,16926522&page=11,https://www.bilibili.com/video/av16926522/index_11.html
python基础 12 函数默认参数 (教学教程tutorial),4r_uaoulXLs,https://www.youtube.com/watch?v=4r_uaoulXLs, python基础 12 函数默认参数 (教学教程),XMTU4NTEwODYyNA,http://v.youku.com/v_show/id_XMTU4NTEwODYyNA==.html,12 函数默认参数,16926522&page=12,https://www.bilibili.com/video/av16926522/index_12.html
"python基础 13 全局 & 局部变量, global & local (教学教程tutorial)",H7kIuKhtXHQ,https://www.youtube.com/watch?v=H7kIuKhtXHQ," python基础 13 全局 & 局部变量, global & local (教学教程)",XMTU4NTEzMDIwOA,http://v.youku.com/v_show/id_XMTU4NTEzMDIwOA==.html,"13 全局 & 局部变量, global & local",16926522&page=13,https://www.bilibili.com/video/av16926522/index_13.html
python基础 14 模块安装 (教学教程tutorial),D0-8urP2b5Y,https://www.youtube.com/watch?v=D0-8urP2b5Y, python基础 14 模块安装 (教学教程),XMTU4NTE2NDk4OA,http://v.youku.com/v_show/id_XMTU4NTE2NDk4OA==.html,14 模块安装,16926522&page=14,https://www.bilibili.com/video/av16926522/index_14.html
python基础 15 读写文件1 (教学教程tutorial),hkMQaooXkgs,https://www.youtube.com/watch?v=hkMQaooXkgs, python基础 15 读写文件1 (教学教程),XMTU4NTE4OTA0OA,http://v.youku.com/v_show/id_XMTU4NTE4OTA0OA==.html,15 读写文件1,16926522&page=15,https://www.bilibili.com/video/av16926522/index_15.html
python基础 16 读写文件2 (教学教程tutorial),TBemVnOITjk,https://www.youtube.com/watch?v=TBemVnOITjk, python基础 16 读写文件2 (教学教程),XMTU4NTIwMjA2OA,http://v.youku.com/v_show/id_XMTU4NTIwMjA2OA==.html,16 读写文件2,16926522&page=16,https://www.bilibili.com/video/av16926522/index_16.html
python基础 17 文件读写3 (教学教程tutorial),pz3I-9MgxGo,https://www.youtube.com/watch?v=pz3I-9MgxGo, python基础 17 文件读写3 (教学教程),XMTU4NTIxODg3Ng,http://v.youku.com/v_show/id_XMTU4NTIxODg3Ng==.html,17 文件读写3,16926522&page=17,https://www.bilibili.com/video/av16926522/index_17.html
python基础 18 class 类 (教学教程tutorial),PI9U3LKNCo4,https://www.youtube.com/watch?v=PI9U3LKNCo4, python基础 18 class 类 (教学教程),XMTU4NTc3NTE1Ng,http://v.youku.com/v_show/id_XMTU4NTc3NTE1Ng==.html,18 class 类,16926522&page=18,https://www.bilibili.com/video/av16926522/index_18.html
python基础 19 类 init 功能 (教学教程tutorial),GxMm82yy2Ds,https://www.youtube.com/watch?v=GxMm82yy2Ds, python基础 19 类 init 功能 (教学教程),XMTU4NTgwOTg4MA,http://v.youku.com/v_show/id_XMTU4NTgwOTg4MA==.html,19 类 init 功能,16926522&page=19,https://www.bilibili.com/video/av16926522/index_19.html
python基础 20 input 输入 (教学教程tutorial),g_o8y-LTqos,https://www.youtube.com/watch?v=g_o8y-LTqos, python基础 20 input 输入 (教学教程),XMTU4NzIzNDI0NA,http://v.youku.com/v_show/id_XMTU4NzIzNDI0NA==.html,20 input 输入,16926522&page=20,https://www.bilibili.com/video/av16926522/index_20.html
python基础 21 元组 列表 (教学教程tutorial),tjIDFuyMuhc,https://www.youtube.com/watch?v=tjIDFuyMuhc, python基础 21 元组 列表 (教学教程),XMTU4NzI2ODI0OA,http://v.youku.com/v_show/id_XMTU4NzI2ODI0OA==.html,21 元组 列表,16926522&page=21,https://www.bilibili.com/video/av16926522/index_21.html
