title_yt,yt_vid,yt_url,title_yk,yk_vid,yk_url,title_bi,bi_vid,bi_url
Git 版本管理 1 Why? (教学 教程 tutorial),kQSzft2Jj8Y,https://www.youtube.com/watch?v=kQSzft2Jj8Y, Git 版本管理 1 Why? (教学 教程 tutorial),XMTg0MjA2MzU3Ng,http://v.youku.com/v_show/id_XMTg0MjA2MzU3Ng==.html,1.1 Why Git?,16377923&page=1,https://www.bilibili.com/video/av16377923/index_1.html
Git 版本管理 2 安装 (教学 教程 tutorial),BMKlINSwEas,https://www.youtube.com/watch?v=BMKlINSwEas, Git 版本管理 2 安装 (教学 教程 tutorial),XMTg0MjA5NzM3Mg,http://v.youku.com/v_show/id_XMTg0MjA5NzM3Mg==.html,1.2 Git 安装,16377923&page=2,https://www.bilibili.com/video/av16377923/index_2.html
Git 版本管理 3 第一个版本管理库 (教学 教程 tutorial),obbH1hGB5GI,https://www.youtube.com/watch?v=obbH1hGB5GI, Git 版本管理 3 第一个版本管理库 (教学 教程 tutorial),XMTg0MjE3NzE1Ng,http://v.youku.com/v_show/id_XMTg0MjE3NzE1Ng==.html,2.1 第一个版本库 Repository,16377923&page=3,https://www.bilibili.com/video/av16377923/index_3.html
Git 版本管理 4 记录修改 (log & diff) (教学 教程 tutorial),qSql8KDTEuY,https://www.youtube.com/watch?v=qSql8KDTEuY, Git 版本管理 4 记录修改 (log & diff) (教学 教程 tutorial),XMTg0MjI5NTYwOA,http://v.youku.com/v_show/id_XMTg0MjI5NTYwOA==.html,2.2 记录修改 (log & diff),16377923&page=4,https://www.bilibili.com/video/av16377923/index_4.html
Git 版本管理 5 回到从前 (reset) (教学 教程 tutorial),RhJLfEJV36w,https://www.youtube.com/watch?v=RhJLfEJV36w, Git 版本管理 5 回到从前 (reset) (教学 教程 tutorial),XMTg0MjkzMDkwOA,http://v.youku.com/v_show/id_XMTg0MjkzMDkwOA==.html,3.1 回到从前 (reset),16377923&page=5,https://www.bilibili.com/video/av16377923/index_5.html
Git 版本管理 6 回到从前 (checkout) (教学 教程 tutorial),QEuqlpMOL9E,https://www.youtube.com/watch?v=QEuqlpMOL9E, Git 版本管理 6 回到从前 (checkout) (教学 教程 tutorial),XMTg0Mzg1MjE4OA,http://v.youku.com/v_show/id_XMTg0Mzg1MjE4OA==.html,3.2 回到从前 (checkout 针对单个文件),16377923&page=6,https://www.bilibili.com/video/av16377923/index_6.html
Git 版本管理 7 分支 (branch) (教学 教程 tutorial),68CMwz3wMRE,https://www.youtube.com/watch?v=68CMwz3wMRE, Git 版本管理 7 分支 (branch) (教学 教程 tutorial),XMTg0NDIyODU0MA,http://v.youku.com/v_show/id_XMTg0NDIyODU0MA==.html,4.1 分支 (branch),16377923&page=7,https://www.bilibili.com/video/av16377923/index_7.html
Git 版本管理 8 分支冲突 (merge) (教学 教程 tutorial),gN0E9SQmySw,https://www.youtube.com/watch?v=gN0E9SQmySw, Git 版本管理 8 分支冲突 (merge) (教学 教程 tutorial),XMTg0NDMwNjUxNg,http://v.youku.com/v_show/id_XMTg0NDMwNjUxNg==.html,4.2 merge 分支冲突,16377923&page=8,https://www.bilibili.com/video/av16377923/index_8.html
Git 版本管理 9 分支冲突 (rebase) (教学 教程 tutorial),fLvr4BRoJ8I,https://www.youtube.com/watch?v=fLvr4BRoJ8I, Git 版本管理 9 分支冲突 (rebase) (教学 教程 tutorial),XMTg0NDU3ODYwMA,http://v.youku.com/v_show/id_XMTg0NDU3ODYwMA==.html,4.3 rebase 分支冲突,16377923&page=9,https://www.bilibili.com/video/av16377923/index_9.html
Git 版本管理 10 临时修复 (stash) (教学 教程 tutorial),mqjAMciBrdU,https://www.youtube.com/watch?v=mqjAMciBrdU, Git 版本管理 10 临时修复 (stash) (教学 教程 tutorial),XMTg0NDYzNjUzNg,http://v.youku.com/v_show/id_XMTg0NDYzNjUzNg==.html,4.4 临时修改 (stash),16377923&page=10,https://www.bilibili.com/video/av16377923/index_10.html
Git 版本管理 11 Github (教学 教程 tutorial),oWUvXRheaeY,https://www.youtube.com/watch?v=oWUvXRheaeY, Git 版本管理 11 Github (教学 教程 tutorial),XMTg0NDY5NDMzMg,http://v.youku.com/v_show/id_XMTg0NDY5NDMzMg==.html,5.1 Github,16377923&page=11,https://www.bilibili.com/video/av16377923/index_11.html
