title_yt,yt_vid,yt_url,title_yk,yk_vid,yk_url,title_bi,bi_vid,bi_url
科普: 人工神经网络 VS 生物神经网络,lAaCeiqE6CE,https://www.youtube.com/watch?v=lAaCeiqE6CE,科普: 人工神经网络 VS 生物神经网络,XMjc3MzA3OTM0NA,http://v.youku.com/v_show/id_XMjc3MzA3OTM0NA==.html,科普: 人工神经网络 VS 生物神经网络,16910214&page=1,https://www.bilibili.com/video/av16910214/index_1.html
什么是神经网络 (机器学习) what is neural network in machine learning,RSRkp8VAavQ,https://www.youtube.com/watch?v=RSRkp8VAavQ,2 什么是神经网络 机器学习 what is neural network in machine learning,XMTU5NDc3MDQwOA,http://v.youku.com/v_show/id_XMTU5NDc3MDQwOA==.html,什么是神经网络 (机器学习),16910214&page=2,https://www.bilibili.com/video/av16910214/index_2.html
神经网络 : 梯度下降 (Gradient Descent in Neural Nets),9sJG7LjGCnI,https://www.youtube.com/watch?v=9sJG7LjGCnI,神经网络 : 梯度下降 (Gradient Descent in NN),XMjg1NzQwNDc4OA,http://v.youku.com/v_show/id_XMjg1NzQwNDc4OA==.html,神经网络 : 梯度下降,16910214&page=3,https://www.bilibili.com/video/av16910214/index_3.html
科普: 神经网络的黑盒不黑 (深度理解神经网络),Yp29JqL_dd4,https://www.youtube.com/watch?v=Yp29JqL_dd4,科普: 神经网络的黑盒不黑 (深度理解神经网络),XMjgxNTY1NzQwOA,http://v.youku.com/v_show/id_XMjgxNTY1NzQwOA==.html,科普: 神经网络的黑盒不黑,16910214&page=4,https://www.bilibili.com/video/av16910214/index_4.html
Keras 1 Why? (教学 教程 tutorial),AoK4zpsQN7M,https://www.youtube.com/watch?v=AoK4zpsQN7M, Keras 1 Why? (教学 教程 tutorial),XMTc3ODk2NjY5Mg,http://v.youku.com/v_show/id_XMTc3ODk2NjY5Mg==.html,1 Why?,16910214&page=5,https://www.bilibili.com/video/av16910214/index_5.html
Keras 2 安装 (教学 教程 tutorial),glcqKUzr1ZM,https://www.youtube.com/watch?v=glcqKUzr1ZM, Keras 2 安装 (教学 教程 tutorial),XMTc3ODk5NjUyNA,http://v.youku.com/v_show/id_XMTc3ODk5NjUyNA==.html,2 安装,16910214&page=6,https://www.bilibili.com/video/av16910214/index_6.html
Keras 3 兼容 backend (教学 教程 tutorial),FIZiuAM5kQo,https://www.youtube.com/watch?v=FIZiuAM5kQo, Keras 3 兼容 backend (教学 教程 tutorial),XMTc3OTA0NDc5Mg,http://v.youku.com/v_show/id_XMTc3OTA0NDc5Mg==.html,3 兼容 backend,16910214&page=7,https://www.bilibili.com/video/av16910214/index_7.html
Keras 4 Regressor 回归 (教学 教程 tutorial),I_on5dTY3d4,https://www.youtube.com/watch?v=I_on5dTY3d4, Keras 4 Regressor 回归 (教学 教程 tutorial),XMTc3OTEwMDk3Ng,http://v.youku.com/v_show/id_XMTc3OTEwMDk3Ng==.html,4 Regressor 回归,16910214&page=8,https://www.bilibili.com/video/av16910214/index_8.html
Keras 5 Classifier 分类 (教学 教程 tutorial),3mpDXAXFkfg,https://www.youtube.com/watch?v=3mpDXAXFkfg, Keras 5 Classifier 分类 (教学 教程 tutorial),XMTc3OTE4NDc0OA,http://v.youku.com/v_show/id_XMTc3OTE4NDc0OA==.html,5 Classifier 分类,16910214&page=9,https://www.bilibili.com/video/av16910214/index_9.html
什么是卷积神经网络 CNN (深度学习)? What is Convolutional Neural Networks (deep learning)?,hMIZ85t9r9A,https://www.youtube.com/watch?v=hMIZ85t9r9A,3 什么是卷积神经网络(深度学习)? What is Convolutional Neural Networks (deep learning)?,XMTY4MzAyNTc4NA,http://v.youku.com/v_show/id_XMTY4MzAyNTc4NA==.html,什么是卷积神经网络 CNN (深度学习)?,16910214&page=10,https://www.bilibili.com/video/av16910214/index_10.html
Keras 6 CNN 卷积神经网络 (教学 教程 tutorial),zHop6Oq757Y,https://www.youtube.com/watch?v=zHop6Oq757Y, Keras 6 CNN 卷积神经网络 (教学 教程 tutorial),XMTc4MDEyMDk0MA,http://v.youku.com/v_show/id_XMTc4MDEyMDk0MA==.html,6 CNN 卷积神经网络,16910214&page=11,https://www.bilibili.com/video/av16910214/index_11.html
什么是循环神经网络 RNN (深度学习)? What is Recurrent Neural Networks (deep learning)?,EEtf4kNsk7Q,https://www.youtube.com/watch?v=EEtf4kNsk7Q,4 什么是循环神经网络 RNN (深度学习)? What is Recurrent Neural Networks (deep learning)?,XMTcyNzYwNjU1Ng,http://v.youku.com/v_show/id_XMTcyNzYwNjU1Ng==.html,什么是循环神经网络 RNN (深度学习)?,16910214&page=12,https://www.bilibili.com/video/av16910214/index_12.html
什么是 LSTM RNN 循环神经网络 (深度学习)? What is LSTM in RNN (deep learning)?,Vdg5zlZAXnU,https://www.youtube.com/watch?v=Vdg5zlZAXnU,5 什么是LSTM RNN (深度学习)? What is LSTM in RNN (deep learning)?,XMTc0MzY5MTQxMg,http://v.youku.com/v_show/id_XMTc0MzY5MTQxMg==.html,什么是 LSTM RNN 循环神经网络 (深度学习)?,16910214&page=13,https://www.bilibili.com/video/av16910214/index_13.html
Keras 7 RNN Classifier 循环神经网络 (教学 教程 tutorial),Zhy8NWAMT14,https://www.youtube.com/watch?v=Zhy8NWAMT14, Keras 7 RNN Classifier 循环神经网络 (教学 教程 tutorial),XMTc4MDE4MDE4OA,http://v.youku.com/v_show/id_XMTc4MDE4MDE4OA==.html,7 RNN Classifier 循环神经网络,16910214&page=14,https://www.bilibili.com/video/av16910214/index_14.html
Keras 8 RNN Regressor 循环神经网络 (教学 教程 tutorial),x5jjul-vLv4,https://www.youtube.com/watch?v=x5jjul-vLv4, Keras 8 RNN Regressor 循环神经网络 (教学 教程 tutorial),XMTc4MDIxNTkwNA,http://v.youku.com/v_show/id_XMTc4MDIxNTkwNA==.html,8 RNN Regressor 循环神经网络,16910214&page=15,https://www.bilibili.com/video/av16910214/index_15.html
什么是自编码 Autoencoder (深度学习)? What is an Autoencoder in Neural Networks (deep learning)?,w8HmXgXnVEo,https://www.youtube.com/watch?v=w8HmXgXnVEo,6 什么是自编码  (深度学习)? What is an Autoencoder in Neural Networks (deep learning)?,XMTgwNDc1NjYwMA,http://v.youku.com/v_show/id_XMTgwNDc1NjYwMA==.html,什么是自编码 Autoencoder (深度学习)?,16910214&page=16,https://www.bilibili.com/video/av16910214/index_16.html
Keras 9 Autoencoder 自编码 (教学 教程 tutorial),OubNgB-Fa4M,https://www.youtube.com/watch?v=OubNgB-Fa4M, Keras 9 Autoencoder 自编码 (教学 教程 tutorial),XMTc4MDI2MDg1Mg,http://v.youku.com/v_show/id_XMTc4MDI2MDg1Mg==.html,9 Autoencoder 自编码,16910214&page=17,https://www.bilibili.com/video/av16910214/index_17.html
Keras 10 Save & reload 保存提取 (教学 教程 tutorial),e-ICAuGXw7k,https://www.youtube.com/watch?v=e-ICAuGXw7k, Keras 10 Save & reload 保存提取 (教学 教程 tutorial),XMTc4MDI4NjIyNA,http://v.youku.com/v_show/id_XMTc4MDI4NjIyNA==.html,10 Save & reload 保存提取,16910214&page=18,https://www.bilibili.com/video/av16910214/index_18.html
