title_yt,yt_vid,yt_url,title_yk,yk_vid,yk_url,title_bi,bi_vid,bi_url
1.1 Why Linux? (Linux 机器学习 教程教学 tutorial),c8STJnGZPLQ,https://www.youtube.com/watch?v=c8STJnGZPLQ,1.1 Why Linux? (Linux 机器学习 教程教学),XMzA5OTU1MzY3Mg,http://v.youku.com/v_show/id_XMzA5OTU1MzY3Mg==.html,1.1 Why Linux?,15976434&page=1,https://www.bilibili.com/video/av15976434/index_1.html
1.2 安装 Ubuntu 17.10 (Linux 机器学习 教程教学 tutorial),tA9OKOZqjdg,https://www.youtube.com/watch?v=tA9OKOZqjdg,1.2 安装 Ubuntu 17.10 (Linux 机器学习 教程教学 tutorial),XMzExNjczNDYwOA,http://v.youku.com/v_show/id_XMzExNjczNDYwOA==.html,1.2 安装 Ubuntu 17.10,15976434&page=2,https://www.bilibili.com/video/av15976434/index_2.html
1.3 快速了解 Ubuntu17.10 基本界面 (Linux 机器学习 教程教学 tutorial),HeA0K-hzRpw,https://www.youtube.com/watch?v=HeA0K-hzRpw,1.3 快速了解 Ubuntu17.10 基本界面,XMzExNjk0ODg4NA,http://v.youku.com/v_show/id_XMzExNjk0ODg4NA==.html,1.3 快速了解 Ubuntu17.10 基本界面,15976434&page=3,https://www.bilibili.com/video/av15976434/index_3.html
1.4 Ubuntu 安装软件 app (Linux 机器学习 教程教学 tutorial),04xmnJT5dcE,https://www.youtube.com/watch?v=04xmnJT5dcE,1.4 Ubuntu 安装软件 app (Linux 机器学习 教程教学 tutorial),XMzExNzAzODg5Ng,http://v.youku.com/v_show/id_XMzExNzAzODg5Ng==.html,1.4 Ubuntu 安装软件 app,15976434&page=4,https://www.bilibili.com/video/av15976434/index_4.html
2.1 Linux 基本指令 ls 和 cd (Linux 机器学习 教程教学 tutorial),9sIbn9xVdlk,https://www.youtube.com/watch?v=9sIbn9xVdlk,2.1 Linux 基本指令 ls 和 cd (Linux 机器学习 教程教学 tutorial),XMzExNzE1MDgyNA,http://v.youku.com/v_show/id_XMzExNzE1MDgyNA==.html,2.1 Linux 基本指令 ls 和 cd,15976434&page=5,https://www.bilibili.com/video/av15976434/index_5.html
2.2 Linux 基本指令 touch cp mv (Linux 机器学习 教程教学 tutorial),9BtAjh5s1Fw,https://www.youtube.com/watch?v=9BtAjh5s1Fw,2.2 Linux 基本指令 touch cp mv (Linux 机器学习 教程教学 tutorial),XMzExNzIzNzc2NA,http://v.youku.com/v_show/id_XMzExNzIzNzc2NA==.html,2.2 Linux 基本指令 touch cp mv,15976434&page=6,https://www.bilibili.com/video/av15976434/index_6.html
2.3 Linux 基本指令 mkdir rmdir rm (Linux 机器学习 教程教学 tutorial),L5YgJbgufPc,https://www.youtube.com/watch?v=L5YgJbgufPc,"2.3 Linux 基本指令 mkdir, rmdir 和 rm (Linux 机器学习 教程教学 tutorial)",XMzEyMDk5MDEwMA,http://v.youku.com/v_show/id_XMzEyMDk5MDEwMA==.html,2.3 Linux 基本指令 mkdir rmdir rm,15976434&page=7,https://www.bilibili.com/video/av15976434/index_7.html
2.4 Linux 基本指令 nano 和 cat (Linux 机器学习 教程教学 tutorial),Kp6RAGtWCew,https://www.youtube.com/watch?v=Kp6RAGtWCew,2.4 Linux 基本指令 nano 和 cat (Linux 机器学习 教程教学 tutorial),XMzEyMTA0OTMzMg,http://v.youku.com/v_show/id_XMzEyMTA0OTMzMg==.html,2.4 Linux 基本指令 nano 和 cat,15976434&page=8,https://www.bilibili.com/video/av15976434/index_8.html
3.1 Linux 文件权限 (Linux 机器学习 教程教学 tutorial),bOx-SA5ONqI,https://www.youtube.com/watch?v=bOx-SA5ONqI,3.1 Linux 文件权限 (Linux 机器学习 教程教学 tutorial),XMzEyMTA2ODY5Mg,http://v.youku.com/v_show/id_XMzEyMTA2ODY5Mg==.html,3.1 Linux 文件权限,15976434&page=9,https://www.bilibili.com/video/av15976434/index_9.html
4.1 怎么样从 MacOS 或 Linux 通过 SSH 远程 Linux (Linux 机器学习 教程教学 tutorial),Jo9OlO5cvn0,https://www.youtube.com/watch?v=Jo9OlO5cvn0,4.1 怎么样从 MacOS 或 Linux 通过 SSH 远程 Linux,XMzEyMTE0MzY2NA,http://v.youku.com/v_show/id_XMzEyMTE0MzY2NA==.html,4.1 怎么样从 MacOS 或 Linux 通过 SSH 远程 Linux,15976434&page=10,https://www.bilibili.com/video/av15976434/index_10.html
