title_yt,yt_vid,yt_url,title_yk,yk_vid,yk_url,title_bi,bi_vid,bi_url
1 numpy & pandas 有什么用? (教学教程),To3YL92HZyc,https://www.youtube.com/watch?v=To3YL92HZyc, numpy & pandas 1 有什么用? (教学教程),XMTU4NjM3MTc4MA,http://v.youku.com/v_show/id_XMTU4NjM3MTc4MA==.html,1.1 numpy & pandas 有什么用?,16378934&page=1,https://www.bilibili.com/video/av16378934/index_1.html
2 numpy & pandas 安装 (教学教程),JauGYB-Bzuw,https://www.youtube.com/watch?v=JauGYB-Bzuw, numpy & pandas 2 安装 (教学教程),XMTU4NjM5NzgyNA,http://v.youku.com/v_show/id_XMTU4NjM5NzgyNA==.html,1.2 numpy & pandas 安装,16378934&page=2,https://www.bilibili.com/video/av16378934/index_2.html
3 numpy 属性 (教学教程),mf7ktBLwaJs,https://www.youtube.com/watch?v=mf7ktBLwaJs, 3 numpy的属性 (教学教程),XMTU4NjU0MzE4NA,http://v.youku.com/v_show/id_XMTU4NjU0MzE4NA==.html,2.1 numpy 属性,16378934&page=3,https://www.bilibili.com/video/av16378934/index_3.html
4 numpy 的创建 array (教学教程),2TkMujKoDPI,https://www.youtube.com/watch?v=2TkMujKoDPI, 4 numpy的创建 array (教学教程),XMTU4NzUzNDE0MA,http://v.youku.com/v_show/id_XMTU4NzUzNDE0MA==.html,2.2 numpy 的创建 array,16378934&page=4,https://www.bilibili.com/video/av16378934/index_4.html
5 numpy的基础运算 (教学教程),4QgQaNtuZLA,https://www.youtube.com/watch?v=4QgQaNtuZLA, 5 numpy的基础运算 (教学教程),XMTU4ODI0OTQ1Ng,http://v.youku.com/v_show/id_XMTU4ODI0OTQ1Ng==.html,2.3 numpy的基础运算,16378934&page=5,https://www.bilibili.com/video/av16378934/index_5.html
6 numpy的基础运算2 (教学教程),T9es_lniLl0,https://www.youtube.com/watch?v=T9es_lniLl0, 6 numpy的基础运算2 (教学教程),XMTU4ODY1NDQwNA,http://v.youku.com/v_show/id_XMTU4ODY1NDQwNA==.html,2.4 numpy的基础运算2,16378934&page=6,https://www.bilibili.com/video/av16378934/index_6.html
7 numpy的索引 (教学教程),82Tva71Lm1E,https://www.youtube.com/watch?v=82Tva71Lm1E, 7 numpy的 索引 (教学教程),XMTU4ODY3NTE2OA,http://v.youku.com/v_show/id_XMTU4ODY3NTE2OA==.html,2.5 numpy的索引,16378934&page=7,https://www.bilibili.com/video/av16378934/index_7.html
8 numpy的 array 合并 (教学教程),ttSUtDTjDyI,https://www.youtube.com/watch?v=ttSUtDTjDyI, 8 numpy的 array 合并 (教学教程),XMTU4ODcwNjI1Ng,http://v.youku.com/v_show/id_XMTU4ODcwNjI1Ng==.html,2.6 numpy的 array 合并,16378934&page=8,https://www.bilibili.com/video/av16378934/index_8.html
9 numpy的 array分割 (教学教程),o1j-biEc1Pc,https://www.youtube.com/watch?v=o1j-biEc1Pc, 9 numpy的 array 分割 (教学教程),XMTU4ODcyODMwMA,http://v.youku.com/v_show/id_XMTU4ODcyODMwMA==.html,2.7 numpy的 array分割,16378934&page=9,https://www.bilibili.com/video/av16378934/index_9.html
10 numpy的 copy & deep copy (教学教程),lXmiDyktnCA,https://www.youtube.com/watch?v=lXmiDyktnCA, 10 numpy的 copy & deep copy (教学教程),XMTU4ODc2ODUwOA,http://v.youku.com/v_show/id_XMTU4ODc2ODUwOA==.html,2.8 numpy的 copy & deep copy,16378934&page=10,https://www.bilibili.com/video/av16378934/index_10.html
11 pandas 基本介绍 (教学教程 tutorial),R6oAP8A2lNQ,https://www.youtube.com/watch?v=R6oAP8A2lNQ, 11 pandas 基本介绍 (教学教程 tutorial),XMTYyOTg1MzE2OA,http://v.youku.com/v_show/id_XMTYyOTg1MzE2OA==.html,3.1 pandas 基本介绍,16378934&page=11,https://www.bilibili.com/video/av16378934/index_11.html
12 pandas 选择数据 (教学教程tutorial),BRps4z_EJO0,https://www.youtube.com/watch?v=BRps4z_EJO0, 12 pandas 选择数据 (教学教程tutorial),XMTYzMDE5ODc2OA,http://v.youku.com/v_show/id_XMTYzMDE5ODc2OA==.html,3.2 pandas 选择数据,16378934&page=12,https://www.bilibili.com/video/av16378934/index_12.html
13 pandas 设置值 (教学教程tutorial),HuGMmE97LnY,https://www.youtube.com/watch?v=HuGMmE97LnY, 13 pandas 设置值 (教学教程tutorial),XMTYzMDIzODI4OA,http://v.youku.com/v_show/id_XMTYzMDIzODI4OA==.html,3.3 pandas 设置值,16378934&page=13,https://www.bilibili.com/video/av16378934/index_13.html
14 pandas 处理丢失数据 (教学教程tutorial),H9jqCR4z7Pw,https://www.youtube.com/watch?v=H9jqCR4z7Pw, 14 pandas 处理丢失数据 (教学教程tutorial),XMTYzMTUxNzgwOA,http://v.youku.com/v_show/id_XMTYzMTUxNzgwOA==.html,3.4 pandas 处理丢失数据,16378934&page=14,https://www.bilibili.com/video/av16378934/index_14.html
15 pandas 导入导出 (教学教程tutorial),Vb2aR_t957E,https://www.youtube.com/watch?v=Vb2aR_t957E, 15 pandas 导入导出 (教学教程tutorial),XMTYzODIxMTg3Mg,http://v.youku.com/v_show/id_XMTYzODIxMTg3Mg==.html,3.5 pandas 导入导出,16378934&page=15,https://www.bilibili.com/video/av16378934/index_15.html
16 pandas 合并 concat (教学教程tutorial),DcyFh2m3g6c,https://www.youtube.com/watch?v=DcyFh2m3g6c, 16 pandas 合并 concat (教学教程tutorial),XMTYzODQ4MzY0OA,http://v.youku.com/v_show/id_XMTYzODQ4MzY0OA==.html,3.6 pandas 合并 concat,16378934&page=16,https://www.bilibili.com/video/av16378934/index_16.html
17 pandas 合并 merge (教学教程tutorial),Y2xmMG_jXnc,https://www.youtube.com/watch?v=Y2xmMG_jXnc, 17 pandas 合并 merge (教学教程tutorial),XMTY0NDUzMDYzMg,http://v.youku.com/v_show/id_XMTY0NDUzMDYzMg==.html,3.7 pandas 合并 merge,16378934&page=17,https://www.bilibili.com/video/av16378934/index_17.html
18 pandas plot (教学教程tutorial),SCMLObsel5I,https://www.youtube.com/watch?v=SCMLObsel5I, 18 pandas plot (教学教程tutorial),XMTY0NDcxODQ4NA,http://v.youku.com/v_show/id_XMTY0NDcxODQ4NA==.html,3.8 pandas plot画图,16378934&page=18,https://www.bilibili.com/video/av16378934/index_18.html
