title_yt,yt_vid,yt_url,title_yk,yk_vid,yk_url,title_bi,bi_vid,bi_url
Matplotlib 1 Why? (python 数据可视化教学教程),dLrndCJzbzA,https://www.youtube.com/watch?v=dLrndCJzbzA, Matplotlib 1 Why? (python 数据可视化教学教程),XMTcxNTk3NTQ2NA,http://v.youku.com/v_show/id_XMTcxNTk3NTQ2NA==.html,1 为什么用 Matplotlib,16378354&page=1,https://www.bilibili.com/video/av16378354/index_1.html
Matplotlib 2 安装 (python 数据可视化教学教程),F2K5hqLiBi0,https://www.youtube.com/watch?v=F2K5hqLiBi0, Matplotlib 2 安装 (python 数据可视化教学教程),XMTcxNjAxMDAxNg,http://v.youku.com/v_show/id_XMTcxNjAxMDAxNg==.html,1.2 Matplotlib 安装,16378354&page=2,https://www.bilibili.com/video/av16378354/index_2.html
Matplotlib 3 基本用法 (python 数据可视化教学教程),4Y7f0znUT6E,https://www.youtube.com/watch?v=4Y7f0znUT6E, Matplotlib 3 基本用法 (python 数据可视化教学教程),XMTcxNjA0MjM2MA,http://v.youku.com/v_show/id_XMTcxNjA0MjM2MA==.html,2.1 基本用法,16378354&page=3,https://www.bilibili.com/video/av16378354/index_3.html
Matplotlib 4 figure 图像 (python 数据可视化教学教程),5IuawGiZ7_0,https://www.youtube.com/watch?v=5IuawGiZ7_0, Matplotlib 4 figure 图像 (python 数据可视化教学教程),XMTcxNjA2OTM5Mg,http://v.youku.com/v_show/id_XMTcxNjA2OTM5Mg==.html,2.2 figure 图像,16378354&page=4,https://www.bilibili.com/video/av16378354/index_4.html
Matplotlib 5 设置坐标轴1 (python 数据可视化教学教程),46EsDY8V6lQ,https://www.youtube.com/watch?v=46EsDY8V6lQ, Matplotlib 5 设置坐标轴1 (python 数据可视化教学教程),XMTcxNjEyMDY4MA,http://v.youku.com/v_show/id_XMTcxNjEyMDY4MA==.html,2.3 设置坐标轴1,16378354&page=5,https://www.bilibili.com/video/av16378354/index_5.html
Matplotlib 6 设置坐标轴2 (python 数据可视化教学教程),w83mFG5tyW4,https://www.youtube.com/watch?v=w83mFG5tyW4, Matplotlib 6 设置坐标轴2 (python 数据可视化教学教程),XMTcxNjE2MjkwMA,http://v.youku.com/v_show/id_XMTcxNjE2MjkwMA==.html,2.4 设置坐标轴2,16378354&page=6,https://www.bilibili.com/video/av16378354/index_6.html
Matplotlib 7 Legend 图例 (python 数据可视化教学教程),dGZyoX72iEg,https://www.youtube.com/watch?v=dGZyoX72iEg, Matplotlib 7 Legend 图例 (python 数据可视化教学教程),XMTcxNjE5MzA0OA,http://v.youku.com/v_show/id_XMTcxNjE5MzA0OA==.html,2.5 Legend 图例,16378354&page=7,https://www.bilibili.com/video/av16378354/index_7.html
Matplotlib 8 Annotation 标注 (python 数据可视化教学教程),p7FoQqWk_Uo,https://www.youtube.com/watch?v=p7FoQqWk_Uo, Matplotlib 8 Annotation 标注 (python 数据可视化教学教程),XMTcxNjI2OTIyNA,http://v.youku.com/v_show/id_XMTcxNjI2OTIyNA==.html,2.6 Annotation 标注,16378354&page=8,https://www.bilibili.com/video/av16378354/index_8.html
Matplotlib 9 tick 能见度 (python 数据可视化教学教程),zj-tXbuFY_4,https://www.youtube.com/watch?v=zj-tXbuFY_4, Matplotlib 9 tick 能见度  (python 数据可视化教学教程),XMTcxNjI5NzEyMA,http://v.youku.com/v_show/id_XMTcxNjI5NzEyMA==.html,2.7 tick 能见度,16378354&page=9,https://www.bilibili.com/video/av16378354/index_9.html
Matplotlib 10 scatter 散点图 (python 数据可视化教学教程),EPDaHAbLPs4,https://www.youtube.com/watch?v=EPDaHAbLPs4, Matplotlib 10 scatter 散点图 (python 数据可视化教学教程),XMTcxNjMzMDEyOA,http://v.youku.com/v_show/id_XMTcxNjMzMDEyOA==.html,3.1 Scatter 散点图,16378354&page=10,https://www.bilibili.com/video/av16378354/index_10.html
