title_yt,yt_vid,yt_url,title_yk,yk_vid,yk_url,title_bi,bi_vid,bi_url
什么是强化学习? (Reinforcement Learning),NVWBs7b3oGk,https://www.youtube.com/watch?v=NVWBs7b3oGk,1 什么是强化学习? (Reinforcement Learning),XMTg5MjI0MTQ1Ng,http://v.youku.com/v_show/id_XMTg5MjI0MTQ1Ng==.html,什么是强化学习? (Reinforcement Learning),16921335&page=1,https://www.bilibili.com/video/av16921335/index_1.html
强化学习方法汇总 (Reinforcement Learning),AINrxEjflaM,https://www.youtube.com/watch?v=AINrxEjflaM,2 强化学习方法汇总 (Reinforcement Learning),XMTkyMDY5MTk2OA,http://v.youku.com/v_show/id_XMTkyMDY5MTk2OA==.html,强化学习方法汇总 (Reinforcement Learning),16921335&page=2,https://www.bilibili.com/video/av16921335/index_2.html
1 why? (强化学习 Reinforcement Learning 教学),o5fjkcM_lHs,https://www.youtube.com/watch?v=o5fjkcM_lHs, 1 why? (强化学习 Reinforcement Learning 教学教程),XMTg5MjM2ODgwOA,http://v.youku.com/v_show/id_XMTg5MjM2ODgwOA==.html,1 why?,16921335&page=3,https://www.bilibili.com/video/av16921335/index_3.html
2 要求准备  (强化学习 Reinforcement Learning 教学),fdwfd6VSNxs,https://www.youtube.com/watch?v=fdwfd6VSNxs, 2 要求准备  (强化学习 Reinforcement Learning 教学),XMTkyMjE2OTcwOA,http://v.youku.com/v_show/id_XMTkyMjE2OTcwOA==.html,2 要求准备,16921335&page=4,https://www.bilibili.com/video/av16921335/index_4.html
What is Q Learning (Reinforcement Learning),HTZ5xn12AL4,https://www.youtube.com/watch?v=HTZ5xn12AL4,3 什么是 Q Learning (Reinforcement Learning),XMTk2NTQxMzQxNg,http://v.youku.com/v_show/id_XMTk2NTQxMzQxNg==.html,什么是 Q Learning (Reinforcement Learning 强化学习),16921335&page=5,https://www.bilibili.com/video/av16921335/index_5.html
2.1 简单例子  (强化学习 Reinforcement Learning 教学),OkGFJE_XDzI,https://www.youtube.com/watch?v=OkGFJE_XDzI, 3 简单例子  (强化学习 Reinforcement Learning 教学),XMTk2NzM1Mjk5Mg,http://v.youku.com/v_show/id_XMTk2NzM1Mjk5Mg==.html,2.1 简单例子,16921335&page=6,https://www.bilibili.com/video/av16921335/index_6.html
2.2 Q Learning 算法更新  (强化学习 Reinforcement Learning 教学),lfMICa9sEQE,https://www.youtube.com/watch?v=lfMICa9sEQE, 4 Q Learning 算法更新  (强化学习 Reinforcement Learning 教学),XMTk2OTg5NDE0MA,http://v.youku.com/v_show/id_XMTk2OTg5NDE0MA==.html,2.2 Q Learning 算法更新,16921335&page=7,https://www.bilibili.com/video/av16921335/index_7.html
2.3 Q Learning 思维决策 (强化学习 Reinforcement Learning 教学),JafbuFHZPdc,https://www.youtube.com/watch?v=JafbuFHZPdc, 5 Q Learning 思维决策 (强化学习 Reinforcement Learning 教学),XMTk3MTU4Njg2MA,http://v.youku.com/v_show/id_XMTk3MTU4Njg2MA==.html,2.3 Q Learning 思维决策,16921335&page=8,https://www.bilibili.com/video/av16921335/index_8.html
什么是 Sarsa (Reinforcement Learning 强化学习),AANzrFOQIiM,https://www.youtube.com/watch?v=AANzrFOQIiM,4 什么是 Sarsa (Reinforcement Learning 强化学习),XMjI1NjY5MTk4OA,http://v.youku.com/v_show/id_XMjI1NjY5MTk4OA==.html,什么是 Sarsa (Reinforcement Learning 强化学习),16921335&page=9,https://www.bilibili.com/video/av16921335/index_9.html
3.1 Sarsa 算法更新  (强化学习 Reinforcement Learning 教学),Sv6IB-Uu4ks,https://www.youtube.com/watch?v=Sv6IB-Uu4ks, 6 Sarsa 算法更新  (强化学习 Reinforcement Learning 教学),XMjI2NTY5NTczNg,http://v.youku.com/v_show/id_XMjI2NTY5NTczNg==.html,3.1 Sarsa 算法更新,16921335&page=10,https://www.bilibili.com/video/av16921335/index_10.html
