title_yt,yt_vid,yt_url,title_yk,yk_vid,yk_url,title_bi,bi_vid,bi_url
什么是机器学习? What is machine learning?,YY7-VKXybjc,https://www.youtube.com/watch?v=YY7-VKXybjc, Scikit.Learn 11 Save (机器学习 sklearn 教学教程tutorial),XMTYyOTkwNzA2OA,http://v.youku.com/v_show/id_XMTYyOTkwNzA2OA==.html,什么是机器学习? What is machine learning?,17003173&page=1,https://www.bilibili.com/video/av17003173/index_1.html
Scikit.Learn 1 Why? (机器学习 sklearn 教学教程tutorial),7wWMP2elSvE,https://www.youtube.com/watch?v=7wWMP2elSvE, Scikit.Learn 10 cross validation 交叉验证3 (机器学习 sklearn 教学教程tutorial),XMTYxODA2Mzk0OA,http://v.youku.com/v_show/id_XMTYxODA2Mzk0OA==.html,1 why,17003173&page=2,https://www.bilibili.com/video/av17003173/index_2.html
Scikit.Learn 2 安装 (机器学习 sklearn 教学教程tutorial),FG3W1_8ogBE,https://www.youtube.com/watch?v=FG3W1_8ogBE, Scikit.Learn 9 cross validation 交叉验证2 (机器学习 sklearn 教学教程tutorial),XMTYxNzgxODQzMg,http://v.youku.com/v_show/id_XMTYxNzgxODQzMg==.html,2 安装,17003173&page=3,https://www.bilibili.com/video/av17003173/index_3.html
Scikit.Learn 3 如何选择机器学习方法 (机器学习 sklearn 教学教程tutorial),GB8SNR-cT7w,https://www.youtube.com/watch?v=GB8SNR-cT7w, Scikit.Learn 8 cross validation 交叉验证1 (机器学习 sklearn 教学教程tutorial),XMTYxNzcwOTc1Ng,http://v.youku.com/v_show/id_XMTYxNzcwOTc1Ng==.html,3 如何选择机器学习方法,17003173&page=4,https://www.bilibili.com/video/av17003173/index_4.html
Scikit.Learn 4 通用学习模式 (机器学习 sklearn 教学教程tutorial),EvV99YhSsJU,https://www.youtube.com/watch?v=EvV99YhSsJU,机器学习技巧1: 怎样检验神经网络 (深度学习)? How to evaluate neural networks (deep learning)?,XMTY5MTk1NzIzMg,http://v.youku.com/v_show/id_XMTY5MTk1NzIzMg==.html,4 通用学习模式,17003173&page=5,https://www.bilibili.com/video/av17003173/index_5.html
Scikit.Learn 5 sklearn 的 datasets 数据库  (机器学习 sklearn 教学教程tutorial),lXznUoPCJLM,https://www.youtube.com/watch?v=lXznUoPCJLM, Scikit.Learn 7 normalization 标准化数据  (机器学习 sklearn 教学教程tutorial),XMTYxNjgwNjkxNg,http://v.youku.com/v_show/id_XMTYxNjgwNjkxNg==.html,5 sklearn 的 datasets 数据库,17003173&page=6,https://www.bilibili.com/video/av17003173/index_6.html
Scikit.Learn 6 model 常用属性和功能 (机器学习 sklearn 教学教程tutorial),d2BMirIToF4,https://www.youtube.com/watch?v=d2BMirIToF4, Scikit.Learn 6 model 常用属性和功能  (机器学习 sklearn 教学教程tutorial),XMTYxNjU3MTQzMg,http://v.youku.com/v_show/id_XMTYxNjU3MTQzMg==.html,6 model 常用属性和功能,17003173&page=7,https://www.bilibili.com/video/av17003173/index_7.html
Scikit.Learn 7 normalization 标准化数据  (机器学习 sklearn 教学教程tutorial),3GxT8n0ShsU,https://www.youtube.com/watch?v=3GxT8n0ShsU, Scikit.Learn 5 sklearn 的 datasets 数据库  (机器学习 sklearn 教学教程tutorial),XMTYxNjU0NzU1Mg,http://v.youku.com/v_show/id_XMTYxNjU0NzU1Mg==.html,7 normalization 标准化数据,17003173&page=8,https://www.bilibili.com/video/av17003173/index_8.html
怎样检验神经网络 (深度学习)? How to evaluate neural networks (deep learning)?,vBJ_XbRnzKE,https://www.youtube.com/watch?v=vBJ_XbRnzKE, Scikit.Learn 4 通用学习模式 (机器学习 sklearn 教学教程tutorial),XMTYxMzg0NzE5Mg,http://v.youku.com/v_show/id_XMTYxMzg0NzE5Mg==.html,怎样检验模型 (深度学习)?,17003173&page=9,https://www.bilibili.com/video/av17003173/index_9.html
Scikit.Learn 8 cross validation 交叉验证1 (机器学习 sklearn 教学教程tutorial),UeyZX31VZE8,https://www.youtube.com/watch?v=UeyZX31VZE8, Scikit.Learn 3 如何选择机器学习方法  (机器学习 sklearn 教学教程tutorial),XMTYxMjk0MzY3Ng,http://v.youku.com/v_show/id_XMTYxMjk0MzY3Ng==.html,8 cross validation 交叉验证1,17003173&page=10,https://www.bilibili.com/video/av17003173/index_10.html
Scikit.Learn 9 cross validation 交叉验证2 (机器学习 sklearn 教学教程tutorial),VsLYdjiG5KQ,https://www.youtube.com/watch?v=VsLYdjiG5KQ, Scikit.Learn 2 安装 (机器学习 sklearn 教学教程tutorial),XMTYxMjg5MTYyOA,http://v.youku.com/v_show/id_XMTYxMjg5MTYyOA==.html,9 cross validation 交叉验证2,17003173&page=11,https://www.bilibili.com/video/av17003173/index_11.html
Scikit.Learn 10 cross validation 交叉验证3 (机器学习 sklearn 教学教程tutorial),nRVKdxfRFtA,https://www.youtube.com/watch?v=nRVKdxfRFtA, Scikit.Learn 1 Why? (机器学习 sklearn 教学教程tutorial),XMTYxMjg1NjQ4MA,http://v.youku.com/v_show/id_XMTYxMjg1NjQ4MA==.html,10 cross validation 交叉验证3,17003173&page=12,https://www.bilibili.com/video/av17003173/index_12.html
Scikit.Learn 11 Save (机器学习 sklearn 教学教程tutorial),8sMZkhWtdaI,https://www.youtube.com/watch?v=8sMZkhWtdaI,1 什么是机器学习? What is machine learning?,XMTYyMjk2NDIwOA,http://v.youku.com/v_show/id_XMTYyMjk2NDIwOA==.html,11 Save,17003173&page=13,https://www.bilibili.com/video/av17003173/index_13.html
