title_yt,yt_vid,yt_url,title_yk,yk_vid,yk_url,title_bi,bi_vid,bi_url
科普: 人工神经网络 VS 生物神经网络,lAaCeiqE6CE,https://www.youtube.com/watch?v=lAaCeiqE6CE,科普: 人工神经网络 VS 生物神经网络,XMjc3MzA3OTM0NA,http://v.youku.com/v_show/id_XMjc3MzA3OTM0NA==.html,科普: 人工神经网络 VS 生物神经网络,16001891&page=1,https://www.bilibili.com/video/av16001891/index_1.html
什么是神经网络 (机器学习) what is neural network in machine learning,RSRkp8VAavQ,https://www.youtube.com/watch?v=RSRkp8VAavQ,2 什么是神经网络 机器学习 what is neural network in machine learning,XMTU5NDc3MDQwOA,http://v.youku.com/v_show/id_XMTU5NDc3MDQwOA==.html,什么是神经网络 (机器学习),16001891&page=2,https://www.bilibili.com/video/av16001891/index_2.html
神经网络 : 梯度下降 (Gradient Descent in Neural Nets),9sJG7LjGCnI,https://www.youtube.com/watch?v=9sJG7LjGCnI,神经网络 : 梯度下降 (Gradient Descent in NN),XMjg1NzQwNDc4OA,http://v.youku.com/v_show/id_XMjg1NzQwNDc4OA==.html,神经网络 : 梯度下降 (Gradient Descent in Neural Nets),16001891&page=3,https://www.bilibili.com/video/av16001891/index_3.html
科普: 神经网络的黑盒不黑 (深度理解神经网络),Yp29JqL_dd4,https://www.youtube.com/watch?v=Yp29JqL_dd4,科普: 神经网络的黑盒不黑 (深度理解神经网络),XMjgxNTY1NzQwOA,http://v.youku.com/v_show/id_XMjgxNTY1NzQwOA==.html,科普: 神经网络的黑盒不黑,16001891&page=4,https://www.bilibili.com/video/av16001891/index_4.html
Tensorflow 1 why? (Eng sub neural network tutorial),vZ263nfbh8g,https://www.youtube.com/watch?v=vZ263nfbh8g, Tensorflow 1 why? (神经网络 教学教程tutorial),XMTYxMzQzMDA3Mg,http://v.youku.com/v_show/id_XMTYxMzQzMDA3Mg==.html,1 why?,16001891&page=5,https://www.bilibili.com/video/av16001891/index_5.html
"Tensorflow 2 安装 (Windows, Mac, Linux) (神经网络 教学教程tutorial)",EXsn02rMWX8,https://www.youtube.com/watch?v=EXsn02rMWX8," Tensorflow 2 安装 (Windows, Mac, Linux) (神经网络 教学教程tutorial)",XMTg0MjcwMDc0NA,http://v.youku.com/v_show/id_XMTg0MjcwMDc0NA==.html,"2 安装 (Windows, Mac, Linux)",16001891&page=6,https://www.bilibili.com/video/av16001891/index_6.html
Tensorflow 3 example1 (Eng sub neural network tutorial),tM4z02cDNa4,https://www.youtube.com/watch?v=tM4z02cDNa4, Tensorflow 3 例子1 (神经网络 教学教程tutorial),XMTYxMzQzNDc5Ng,http://v.youku.com/v_show/id_XMTYxMzQzNDc5Ng==.html,3 例子1,16001891&page=7,https://www.bilibili.com/video/av16001891/index_7.html
Tensorflow 4 flow structure (Eng Sub neural network tutorial),9l_c5260JQ8,https://www.youtube.com/watch?v=9l_c5260JQ8, Tensorflow 4 处理结构 (神经网络 教学教程tutorial),XMTYxMzQ1NzUwOA,http://v.youku.com/v_show/id_XMTYxMzQ1NzUwOA==.html,4 处理结构,16001891&page=8,https://www.bilibili.com/video/av16001891/index_8.html
Tensorflow 5 example2 (Eng sub neural network tutorial),JKR1Dxinwwc,https://www.youtube.com/watch?v=JKR1Dxinwwc, Tensorflow 5 例子2 (神经网络 教学教程tutorial),XMTYxMzQ2NzE0OA,http://v.youku.com/v_show/id_XMTYxMzQ2NzE0OA==.html,5 例子2,16001891&page=9,https://www.bilibili.com/video/av16001891/index_9.html
Tensorflow 6 Session (Eng Sub neural network tutorial),HhjtJ73AwIY,https://www.youtube.com/watch?v=HhjtJ73AwIY, Tensorflow 6 Session 会话控制 (神经网络 教学教程tutorial),XMTYxMzYzNTc2OA,http://v.youku.com/v_show/id_XMTYxMzYzNTc2OA==.html,6 Session 会话控制,16001891&page=10,https://www.bilibili.com/video/av16001891/index_10.html
