title_yt,yt_vid,yt_url,title_yk,yk_vid,yk_url,title_bi,bi_vid,bi_url
科普: 人工神经网络 VS 生物神经网络,lAaCeiqE6CE,https://www.youtube.com/watch?v=lAaCeiqE6CE,科普: 人工神经网络 VS 生物神经网络,XMjc3MzA3OTM0NA,http://v.youku.com/v_show/id_XMjc3MzA3OTM0NA==.html,科普: 人工神经网络 VS 生物神经网络,16938887&page=1,https://www.bilibili.com/video/av16938887/index_1.html
什么是神经网络 (机器学习) what is neural network in machine learning,RSRkp8VAavQ,https://www.youtube.com/watch?v=RSRkp8VAavQ,2 什么是神经网络 机器学习 what is neural network in machine learning,XMTU5NDc3MDQwOA,http://v.youku.com/v_show/id_XMTU5NDc3MDQwOA==.html,什么是神经网络 (机器学习),16938887&page=2,https://www.bilibili.com/video/av16938887/index_2.html
神经网络 : 梯度下降 (Gradient Descent in Neural Nets),9sJG7LjGCnI,https://www.youtube.com/watch?v=9sJG7LjGCnI,神经网络 : 梯度下降 (Gradient Descent in NN),XMjg1NzQwNDc4OA,http://v.youku.com/v_show/id_XMjg1NzQwNDc4OA==.html,神经网络 : 梯度下降 (Gradient Descent in Neural Nets),16938887&page=3,https://www.bilibili.com/video/av16938887/index_3.html
科普: 神经网络的黑盒不黑 (深度理解神经网络),Yp29JqL_dd4,https://www.youtube.com/watch?v=Yp29JqL_dd4,科普: 神经网络的黑盒不黑 (深度理解神经网络),XMjgxNTY1NzQwOA,http://v.youku.com/v_show/id_XMjgxNTY1NzQwOA==.html,科普: 神经网络的黑盒不黑 (深度理解神经网络),16938887&page=4,https://www.bilibili.com/video/av16938887/index_4.html
Theano 1 why (神经网络 教学教程tutorial),84yGQZE43OU,https://www.youtube.com/watch?v=84yGQZE43OU, Theano 1 why (神经网络 教学教程tutorial),XMTY1OTQ4NDI2OA,http://v.youku.com/v_show/id_XMTY1OTQ4NDI2OA==.html,1 why,16938887&page=5,https://www.bilibili.com/video/av16938887/index_5.html
Theano 2 安装 (神经网络 教学教程tutorial),uefJFOaypj8,https://www.youtube.com/watch?v=uefJFOaypj8, Theano 2 安装 (神经网络 教学教程tutorial),XMTY1OTUyNjIzNg,http://v.youku.com/v_show/id_XMTY1OTUyNjIzNg==.html,2 安装,16938887&page=6,https://www.bilibili.com/video/av16938887/index_6.html
Theano 3 神经网络在做什么 (神经网络 教学教程tutorial),sPu4KpzLaDQ,https://www.youtube.com/watch?v=sPu4KpzLaDQ, Theano 3 神经网络在做什么 (神经网络 教学教程tutorial),XMTY2MTU4MzM4MA,http://v.youku.com/v_show/id_XMTY2MTU4MzM4MA==.html,3 神经网络在做什么,16938887&page=7,https://www.bilibili.com/video/av16938887/index_7.html
Theano 4 基本用法 (神经网络 教学教程tutorial),je2oHCX5m74,https://www.youtube.com/watch?v=je2oHCX5m74, Theano 4 基本用法 (神经网络 教学教程tutorial),XMTY2MTY1NDY1Ng,http://v.youku.com/v_show/id_XMTY2MTY1NDY1Ng==.html,4 基本用法,16938887&page=8,https://www.bilibili.com/video/av16938887/index_8.html
Theano 5 function 用法 (神经网络 教学教程tutorial),2exmT0L-QV0,https://www.youtube.com/watch?v=2exmT0L-QV0, Theano 5 function 用法 (神经网络 教学教程tutorial),XMTY2MjY5NTI5Ng,http://v.youku.com/v_show/id_XMTY2MjY5NTI5Ng==.html,5 function 用法,16938887&page=9,https://www.bilibili.com/video/av16938887/index_9.html
Theano 6 shared 变量 (神经网络 教学教程tutorial),GbYWEOjjsAI,https://www.youtube.com/watch?v=GbYWEOjjsAI, Theano 6 shared 变量 (神经网络 教学教程tutorial),XMTY2Mjc3NTU4NA,http://v.youku.com/v_show/id_XMTY2Mjc3NTU4NA==.html,6 shared 变量,16938887&page=10,https://www.bilibili.com/video/av16938887/index_10.html
