title_yt,yt_vid,yt_url,title_yk,yk_vid,yk_url,title_bi,bi_vid,bi_url
python基础 33 Python tkinter 1 什么是tkinter窗口 (GUI 窗口 教学教程tutorial),eXOQwzHsyqU,https://www.youtube.com/watch?v=eXOQwzHsyqU, python基础 33 Python tkinter 1 什么是tkinter窗口 (GUI 窗口 教学教程tutorial),XMTYwNTc0NDczNg,http://v.youku.com/v_show/id_XMTYwNTc0NDczNg==.html,1 什么是tkinter窗口,16942112&page=1,https://www.bilibili.com/video/av16942112/index_1.html
Python tkinter 2 Label & Button 标签和按钮 (GUI 窗口 教学教程tutorial),vMAK1oJAtkQ,https://www.youtube.com/watch?v=vMAK1oJAtkQ, Python tkinter 2 Label & Button 表填和按钮 (GUI 窗口 教学教程tutorial),XMTYwNTc3OTE3Mg,http://v.youku.com/v_show/id_XMTYwNTc3OTE3Mg==.html,2 Label & Button 标签和按钮,16942112&page=2,https://www.bilibili.com/video/av16942112/index_2.html
"Python tkinter 3 Entry & Text 输入, 文本框 (GUI 窗口 教学教程tutorial)",lVcM_V3KqOE,https://www.youtube.com/watch?v=lVcM_V3KqOE," Python tkinter 3 Entry & Text 输入, 文本框 (GUI 窗口 教学教程tutorial)",XMTYwNzAwNTY0NA,http://v.youku.com/v_show/id_XMTYwNzAwNTY0NA==.html,"3 Entry & Text 输入, 文本框",16942112&page=3,https://www.bilibili.com/video/av16942112/index_3.html
Python tkinter 4 Listbox 列表部件 (GUI 窗口 教学教程tutorial),mS2kTW-4TLo,https://www.youtube.com/watch?v=mS2kTW-4TLo, Python tkinter 4 Listbox 列表部件 (GUI 窗口 教学教程tutorial),XMTYwNzAyODE5Mg,http://v.youku.com/v_show/id_XMTYwNzAyODE5Mg==.html,4 Listbox 列表部件,16942112&page=4,https://www.bilibili.com/video/av16942112/index_4.html
Python tkinter 5 Radiobutton 选择按钮 (GUI 窗口 教学教程tutorial),nun-fQIJsZE,https://www.youtube.com/watch?v=nun-fQIJsZE, Python tkinter 5 Radiobutton 选择按钮 (GUI 窗口 教学教程tutorial),XMTYwODA4MDIyMA,http://v.youku.com/v_show/id_XMTYwODA4MDIyMA==.html,5 Radiobutton 选择按钮,16942112&page=5,https://www.bilibili.com/video/av16942112/index_5.html
Python tkinter 6 Scale 尺度 (GUI 窗口 教学教程tutorial),rRZdcHKZQw8,https://www.youtube.com/watch?v=rRZdcHKZQw8, Python tkinter 6 Scale 尺度 (GUI 窗口 教学教程tutorial),XMTYwODE0Njg2MA,http://v.youku.com/v_show/id_XMTYwODE0Njg2MA==.html,6 Scale 尺度,16942112&page=6,https://www.bilibili.com/video/av16942112/index_6.html
Python tkinter 7 Checkbutton 勾选项 (GUI 窗口 教学教程tutorial),WJHHDXSES-0,https://www.youtube.com/watch?v=WJHHDXSES-0, Python tkinter 7 Checkbutton 勾选项 (GUI 窗口 教学教程tutorial),XMTYwODE4NDc0NA,http://v.youku.com/v_show/id_XMTYwODE4NDc0NA==.html,7 Checkbutton 勾选项,16942112&page=7,https://www.bilibili.com/video/av16942112/index_7.html
Python tkinter 8 Canvas 画布 (GUI 窗口 教学教程tutorial),TgcyOBZDgw8,https://www.youtube.com/watch?v=TgcyOBZDgw8, Python tkinter 8 Canvas 画布 (GUI 窗口 教学教程tutorial),XMTYwODY4ODMwNA,http://v.youku.com/v_show/id_XMTYwODY4ODMwNA==.html,8 Canvas 画布,16942112&page=8,https://www.bilibili.com/video/av16942112/index_8.html
Python tkinter 9 Menubar 菜单 (GUI 窗口 教学教程tutorial),SaPE553NlrQ,https://www.youtube.com/watch?v=SaPE553NlrQ, Python tkinter 9 Menubar 菜单 (GUI 窗口 教学教程tutorial),XMTYwODc0NDEwMA,http://v.youku.com/v_show/id_XMTYwODc0NDEwMA==.html,9 Menubar 菜单,16942112&page=9,https://www.bilibili.com/video/av16942112/index_9.html
Python tkinter 10 Frame 框架 (GUI 窗口 教学教程tutorial),WoHYMSlRdrU,https://www.youtube.com/watch?v=WoHYMSlRdrU, Python tkinter 10 Frame 框架 (GUI 窗口 教学教程tutorial),XMTYxMDUyMDEyNA,http://v.youku.com/v_show/id_XMTYxMDUyMDEyNA==.html,10 Frame 框架,16942112&page=10,https://www.bilibili.com/video/av16942112/index_10.html
Python tkinter 11 messagebox 弹窗 (GUI 窗口 教学教程tutorial),Hj5sTDW-xqg,https://www.youtube.com/watch?v=Hj5sTDW-xqg, Python tkinter 11 messagebox 弹窗 (GUI 窗口 教学教程tutorial),XMTYxMDU1NTAyOA,http://v.youku.com/v_show/id_XMTYxMDU1NTAyOA==.html,11 messagebox 弹窗,16942112&page=11,https://www.bilibili.com/video/av16942112/index_11.html
Python tkinter 12 pack grid place 放置位置 (GUI 窗口 教学教程tutorial),gb6cVVg9viM,https://www.youtube.com/watch?v=gb6cVVg9viM, Python tkinter 12 pack grid place 放置位置  (GUI 窗口 教学教程tutorial),XMTYxMDU5MzI2MA,http://v.youku.com/v_show/id_XMTYxMDU5MzI2MA==.html,12 pack grid place 放置位置,16942112&page=12,https://www.bilibili.com/video/av16942112/index_12.html
Python tkinter 13 例子1 登录窗口 (GUI 窗口 教学教程tutorial),3yVR0H5lhso,https://www.youtube.com/watch?v=3yVR0H5lhso, Python tkinter 13 例子1 登录窗口 (GUI 窗口 教学教程tutorial),XMTYxMTEyNDIyNA,http://v.youku.com/v_show/id_XMTYxMTEyNDIyNA==.html,13 例子1 登录窗口,16942112&page=13,https://www.bilibili.com/video/av16942112/index_13.html
Python tkinter 14 例子1 登录窗口 (GUI 窗口 教学教程tutorial),E9REgHVes6c,https://www.youtube.com/watch?v=E9REgHVes6c, Python tkinter 14 例子1 登录窗口 (GUI 窗口 教学教程tutorial),XMTYxMTE0NjM1Mg,http://v.youku.com/v_show/id_XMTYxMTE0NjM1Mg==.html,14 例子1 登录窗口,16942112&page=14,https://www.bilibili.com/video/av16942112/index_14.html
Python tkinter 15 例子1 登录窗口 (GUI 窗口 教学教程tutorial),0mwWNHfSu0Y,https://www.youtube.com/watch?v=0mwWNHfSu0Y, Python tkinter 15 例子1 登录窗口 (GUI 窗口 教学教程tutorial),XMTYxMTIxNzY2NA,http://v.youku.com/v_show/id_XMTYxMTIxNzY2NA==.html,15 例子1 登录窗口,16942112&page=15,https://www.bilibili.com/video/av16942112/index_15.html
