title_yt,yt_vid,yt_url,title_yk,yk_vid,yk_url,title_bi,bi_vid,bi_url
科普: 人工神经网络 VS 生物神经网络,lAaCeiqE6CE,https://www.youtube.com/watch?v=lAaCeiqE6CE,科普: 人工神经网络 VS 生物神经网络,XMjc3MzA3OTM0NA,http://v.youku.com/v_show/id_XMjc3MzA3OTM0NA==.html,科普: 人工神经网络 VS 生物神经网络,15997678&page=1,https://www.bilibili.com/video/av15997678/index_1.html
什么是神经网络 (机器学习) what is neural network in machine learning,RSRkp8VAavQ,https://www.youtube.com/watch?v=RSRkp8VAavQ,2 什么是神经网络 机器学习 what is neural network in machine learning,XMTU5NDc3MDQwOA,http://v.youku.com/v_show/id_XMTU5NDc3MDQwOA==.html,什么是神经网络 (机器学习),15997678&page=2,https://www.bilibili.com/video/av15997678/index_2.html
神经网络 : 梯度下降 (Gradient Descent in Neural Nets),9sJG7LjGCnI,https://www.youtube.com/watch?v=9sJG7LjGCnI,神经网络 : 梯度下降 (Gradient Descent in NN),XMjg1NzQwNDc4OA,http://v.youku.com/v_show/id_XMjg1NzQwNDc4OA==.html,神经网络 : 梯度下降 (Gradient Descent in Neural Nets),15997678&page=3,https://www.bilibili.com/video/av15997678/index_3.html
科普: 神经网络的黑盒不黑 (深度理解神经网络),Yp29JqL_dd4,https://www.youtube.com/watch?v=Yp29JqL_dd4,科普: 神经网络的黑盒不黑 (深度理解神经网络),XMjgxNTY1NzQwOA,http://v.youku.com/v_show/id_XMjgxNTY1NzQwOA==.html,科普: 神经网络的黑盒不黑 (深度理解神经网络),15997678&page=4,https://www.bilibili.com/video/av15997678/index_4.html
1.1 Why? (PyTorch tutorial 神经网络 教学),wnKgOd3NdzA,https://www.youtube.com/watch?v=wnKgOd3NdzA, 1.2 安装 (PyTorch tutorial 神经网络 教学),XMjc0NTk2NTgxNg,http://v.youku.com/v_show/id_XMjc0NTk2NTgxNg==.html,1.1 Why?,15997678&page=5,https://www.bilibili.com/video/av15997678/index_5.html
1.2 安装 (PyTorch tutorial 神经网络 教学),JIGkxYmLPPY,https://www.youtube.com/watch?v=JIGkxYmLPPY, 1.1 Why? (PyTorch tutorial 神经网络 教学),XMjc0NTg5Nzk3Ng,http://v.youku.com/v_show/id_XMjc0NTg5Nzk3Ng==.html,1.2 安装,15997678&page=6,https://www.bilibili.com/video/av15997678/index_6.html
2.1 Numpy Torch 对比 (PyTorch tutorial 神经网络 教学),KBdb53NrVAc,https://www.youtube.com/watch?v=KBdb53NrVAc, 2.1 Numpy Torch 对比 (PyTorch tutorial 神经网络 教学),XMjc0NjA3MzE1Mg,http://v.youku.com/v_show/id_XMjc0NjA3MzE1Mg==.html,2.1 Numpy Torch 对比,15997678&page=7,https://www.bilibili.com/video/av15997678/index_7.html
2.2 Variable 变量 (PyTorch tutorial 神经网络 教学),jxW37CV38-A,https://www.youtube.com/watch?v=jxW37CV38-A, 2.2 Variable 变量 (PyTorch tutorial 神经网络 教学),XMjc0NjExOTkwNA,http://v.youku.com/v_show/id_XMjc0NjExOTkwNA==.html,2.2 Variable 变量,15997678&page=8,https://www.bilibili.com/video/av15997678/index_8.html
什么是激励函数 (深度学习)? Why need activation functions (deep learning)?,tI9AbaBfnPc,https://www.youtube.com/watch?v=tI9AbaBfnPc,机器学习技巧4: 为什么需要激励函数 (深度学习)? Why need activation functions (deep learning)?,XMTcxMTExNjA5Mg,http://v.youku.com/v_show/id_XMTcxMTExNjA5Mg==.html,什么是激励函数 (深度学习)?,15997678&page=9,https://www.bilibili.com/video/av15997678/index_9.html
2.3 Activation Function 激励函数 (PyTorch tutorial 神经网络 教学),6YnzemVHvIU,https://www.youtube.com/watch?v=6YnzemVHvIU, 2.3 Activation Function 激励函数 (PyTorch tutorial 神经网络 教学),XMjc0NjIxMDIxNg,http://v.youku.com/v_show/id_XMjc0NjIxMDIxNg==.html,2.3 Activation Function 激励函数,15997678&page=10,https://www.bilibili.com/video/av15997678/index_10.html
